,word,freq
公司,公司,89
支付,支付,82
卖,卖,79
cn,cn,68
http,http,68
paypal,paypal,65
眼镜,眼镜,65
美国,美国,59
淘,淘宝,56
店,店,58
谷歌,谷歌,57
人民币,人民币,57
广告,广告,56
免费,免费,54
报刊,报刊,51
iphone,iphone,49
拍卖,拍卖,49
网站,网站,49
人,人,47
市场,市场,42
猫,猫,40
投资,投资,39
等,等,37
买,买,37
推出,推出,37
平台,平台,36
出售,出售,35
高,高,35
媒体,媒体,35
一,一,35
价格,价格,34
收入,收入,34
销售,销售,34
阿里,阿里,33
多,多,33
互联网,互联网,33
看,看,33
约,约,33
被,被,32
超过,超过,32
零售商,零售商,32
如果,如果,32
手机,手机,32
推,推,32
中国,中国,32
做,做,32
得,得,31
地方,地方,31
购,购,31
来,来,31
让,让,31
数据,数据,31
用,用,31
4,4,30
本地,本地,30
网上,网上,30
已经,已经,30
中,中,30
好,好,29
京东,京东,29
唐,唐,29
craigslist,craigslist,28
org,org,28
s,s,28
吃掉,吃掉,28
份额,份额,28
黄页,黄页,28
就要,就要,28
抗衡,抗衡,28
内,内,28
去,去,28
什么,什么,28
时间,时间,28
苏宁易,苏宁易,28
galaxy,galaxy,27
变为,变为,27
传统,传统,27
家,家,27
牺牲品,牺牲品,27
google,google,26
从,从,26
拍,拍,26
全球,全球,26
系统,系统,26
开发者,开发者,25
天使,天使,25
现身,现身,25
用户,用户,25
成为,成为,24
东西,东西,24
歌,歌,24
个,个,24
更,更,24
还有,还有,24
活动,活动,24
说,说,24
现在,现在,24
已,已,24
优,优,24
岳母,岳母,24
并,并,23
抵挡,抵挡,23
龚文祥,龚文祥,23
谷,谷,23
价,价,23
太,太,23
投,投,23
56.7万元,56.7万元,22
把,把,22
创,创,22
服务,服务,22
竞价,竞价,22
据,据,22
男子,男子,22
他们,他们,22
这件,这件,22
ifihadglass,ifihadglass,21
产品,产品,21
第三方,第三方,21
二手,二手,21
发布,发布,21
仅,仅,21
卖家,卖家,21
没,没,21
其,其,21
钱,钱,21
然后,然后,21
网,网,21
一下,一下,21
应该,应该,21
